cidade,latitude,longitude
NAVIRAÍ,-23.0622152,-54.2018319
TANABI,-20.6251635,-49.6519879
CANTÁ,2.60994,-60.605827
CAMPINA GRANDE DO SUL,-25.3046032,-49.0545355
SÃO BORJA,-28.6592237,-56.0044295
NOVO PROGRESSO,-7.0374884,-55.4185904
TAILÂNDIA,-2.936096,-48.9523366
CONTAGEM,-19.9132749,-44.0840953
PEDRO OSÓRIO,-31.861921,-52.8219388
DOBRADA,-21.5180904,-48.3938897
SÃO JOSÉ DOS CAMPOS,-21.7318163,-41.3289071
MINEIROS,-17.5653879,-52.5536721
SANTA VITÓRIA DO PALMAR,-33.5198333,-53.3693967
CASCAVEL,-24.9554996,-53.4560544
FLORIANÓPOLIS,-27.5973002,-48.5496098
PARAÚNA,-16.9495937,-50.4473008
PELOTAS,-31.7699736,-52.3410161
UMUARAMA,-23.7621152,-53.3116192
VARGEM ALTA,-20.6733324,-41.0107231
ERECHIM,-27.6350709,-52.2738654
NOVO REPARTIMENTO,-4.2519172,-49.9524257
VITÓRIA,-20.3200917,-40.3376682
VILA BELA DA SANTÍSSIMA TRINDADE,-15.009904,-59.961115
SÃO FÉLIX DO XINGU,-6.6386974,-51.9787582
ITUMBIARA,-18.4135862,-49.2172596
RONDONÓPOLIS,-16.4603533,-54.6397099
MARCELÂNDIA,-11.0794264,-54.5202451
CANÁPOLIS,-18.7228793,-49.2016329
SANTA RITA DO PARDO,-21.3025544,-52.8262142
UBATUBA,-23.433162,-45.083415
ITURAMA,-19.7272733,-50.193488
PAULÍNIA,-22.7630391,-47.1532213
APUCARANA,-23.5525327,-51.4610764
ITACARÉ,-14.2779427,-38.9955683
SANTA CRUZ CABRÁLIA,-16.2815556,-39.0239196
NÃO IDENTIFICADA,-19.9512094,-44.2273507
BRASNORTE,-12.1218837,-58.0042714
JUARA,-11.2535587,-57.5080072
DOVERLÂNDIA,-16.7210996,-52.3138104
RIBAS DO RIO PARDO,-20.4477984,-53.7609001
PORTO SEGURO,-16.443473,-39.064251
CAJATI,-24.7272376,-48.1077914
IBIÁ,-19.4771843,-46.5386956
AMAJARI,3.6523869,-61.4194315
CAMPOS DOS GOYTACAZES,-21.7546,-41.3242
ACREÚNA,-17.3959899,-50.3749031
PETROLINA,-9.3817334,-40.4968875
BOA ESPERANÇA DO SUL,-21.9930206,-48.3917372
JOINVILLE,-26.3044898,-48.8486726
AQUIRAZ,-3.9063117,-38.387504
MARABÁ PAULISTA,-22.1069936,-51.9629504
